,LEAD_REFERENCE_NUMBER,CAMPAIGN_CODE,CIF,MARKETING_MESSAGE_LINE1,MARKETING_MESSAGE_LINE2,MARKETING_MESSAGE_LINE3,MARKETING_MESSAGE_LINE4,MARKETING_MESSAGE_LINE5,MARKETING_MESSAGE_LINE6,BRANCH_CODE,PERSONALIZED_MESSAGE,PRODUCT_OFFER,PROVINCE_CODE,REGION,CAMPAIGN_TYPE,LEAD_STATUS_CODE,OWNER_EMPLOYEE_ID,REFER_NAME,RESPONSE_DATE_TIME,RESPONSE_CODE
11117,LMMT004199502,,5524043,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-06-26T17:16:28Z,
11129,LMMT004186791,,676791,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-06-18T14:33:41Z,
11166,LMAY004201378,,15167668,,,,,,,17,,AYFPLUS,,60501,,1,104141,,2018-06-27T19:33:16Z,
11197,LMAY004202799,,9048947,,,,,,,17,,AYF7LMF,,60501,,1,11027174,,2018-06-28T18:18:08Z,
11198,LMAY004202807,,10453869,,,,,,,17,,AYFDLMF,,60501,,1,11027174,,2018-06-28T18:22:01Z,
11240,LMAY004163827,,9977881,,,,,,,687,,AYFPLUS,,50303,,1,171306,,2018-05-31T15:07:12Z,
11309,LMAY004193594,,769357,,,,,,,34,,AYFCAPL,,50303,,1,166546,,2018-06-21T16:52:09Z,
11438,LMMT004071242,,12238259,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T19:39:24Z,
11439,LMMT004071260,,12708195,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T19:45:56Z,
11451,LMMT004070953,,12032345,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T17:20:19Z,
11622,LMAY004211159,,12099408,,,,,,,615,,AYFDLMF,,50303,,1,185553,,2018-07-05T17:53:10Z,
11743,LMPR004211369,,8272979,,,,,,,143,,PRNSCHN,,50303,,1,11249687,,2018-07-06T08:23:34Z,
11748,LMAY004193716,,5126825,,,,,,,34,,AYFSDIV,,50303,,1,166546,,2018-06-21T17:15:31Z,
11755,LMMT004193764,,9907986,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-06-21T17:26:02Z,
11826,LMMT004193771,,12520881,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-06-21T17:27:43Z,
11833,LMAY004195684,,3742006,,,,,,,361,,AYFDLMF,,50303,,1,11094208,,2018-06-22T17:49:01Z,
11879,LMPR004210107,,14614900,,,,,,,143,,PRNSCHN,,50303,,1,11249687,,2018-07-05T11:02:46Z,
11914,LMMT004199539,,5285061,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-06-26T17:21:56Z,
12159,LMMT004200388,,12240768,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-06-27T13:18:05Z,
12192,LMMT004203470,,3953108,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-06-29T12:52:32Z,
12272,LMAY004202863,,17643076,,,,,,,17,,AYFDLMF,,60501,,1,11027174,,2018-06-28T18:44:11Z,
12400,LMMT004199578,,12893780,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-06-26T17:29:03Z,
12466,LMAY004195937,,1095578,,,,,,,493,,AYFDLMF,,50303,,1,140301,,2018-06-22T19:16:27Z,
12473,LMMT004199586,,14470847,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-06-26T17:30:42Z,
12665,LMAY004082768,,727666,,,,,,,14,,AYFDLMF,,50303,,1,131722,,2018-04-04T10:21:57Z,
12730,LMAY004212842,,12159938,,,,,,,615,,AYFDLMF,,50303,,1,185553,,2018-07-06T18:11:07Z,
12906,LMMT004210055,,10058918,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-07-05T10:50:58Z,
12964,LMPR004211370,,12898154,,,,,,,143,,PRNSCHN,,50303,,1,11249687,,2018-07-06T08:26:09Z,
12990,LMPR004211368,,13904972,,,,,,,143,,PRNSCHN,,50303,,1,11249687,,2018-07-06T08:19:44Z,
